,E,H,H+,H2,C,C+,O+,O,OH+,OH,H2O,H2O+,H3O+,CO,CO+,HCO+
406.36539459018496,1.377578927806919e-07,0.000461631091054352,1.0000000000374436e-16,9999.999769184458,0.9999998622421303,1.3775787002422984e-07,2.278199499731566e-14,1.999999999999977,1.739598821727647e-16,1.0000002279354262e-16,9.999996862935188e-17,1.0025917286626721e-16,1.0024804469388088e-16,9.999999871019773e-17,9.970460314952114e-17,1.0029539684404887e-16
416.800017049401,1.412952301585397e-07,0.00047348482209960246,1.0000000000393893e-16,9999.999763257592,0.9999998587047935,1.4129520681773874e-07,2.336248186884673e-14,1.9999999999999765,1.7779350026195313e-16,1.0000002337884854e-16,9.99999678238386e-17,1.0027116290585338e-16,1.0025442275004017e-16,9.999999867724804e-17,9.969702947154267e-17,1.0030297052169294e-16
427.5025790214698,1.4492339902759691e-07,0.0004856429324223984,1.000000000041436e-16,9999.999757178537,0.9999998550766253,1.4492337508745254e-07,2.3957773770650297e-14,1.9999999999999758,1.8182580885218998e-16,1.0000002397918471e-16,9.999996699764246e-17,1.0028388017246582e-16,1.0026096552537791e-16,9.999999864346112e-17,9.968926191483954e-17,1.0031073807804429e-16
438.47996063864434,1.4864473175192763e-07,0.000498113237852367,1.000000000043589e-16,9999.999750943383,0.9999998513552931,1.4864470719704984e-07,2.4568245646906335e-14,1.9999999999999751,1.8606709517186527e-16,1.0000002459493709e-16,9.999996615023241e-17,1.002973763430597e-16,1.0026767734074101e-16,9.99999986088159e-17,9.968129553204545e-17,1.0031870446046829e-16
449.73921870074076,1.5246162058584468e-07,0.0005109037549134521,1.0000000000458538e-16,9999.999744548126,0.9999998475384049,1.5246159540044848e-07,2.519428179958059e-14,1.9999999999999745,1.9052817800008251e-16,1.000000252265016e-16,9.999996528106379e-17,1.003117070226162e-16,1.0027456263599783e-16,9.999999857329084e-17,9.967312525036658e-17,1.0032687474175783e-16
461.28759121158834,1.5637651921176332e-07,0.0005240227059773183,1.0000000000482362e-16,9999.99973798865,0.9999998436235069,1.5637649337965826e-07,2.5836276114781324e-14,1.9999999999999738,1.9522043504134106e-16,1.0000002587428428e-16,9.999996438957792e-17,1.0032693205019381e-16,1.0028162597377715e-16,9.999999853686385e-17,9.966474586844431e-17,1.0033525412327053e-16
473.1325020319802,1.6039194431754792e-07,0.0005374785245491026,1.0000000000507423e-16,9999.999731260741,0.9999998396080825,1.6039191782212786e-07,2.6494632294213448e-14,1.9999999999999731,2.0015583170261702e-16,1.0000002653870165e-16,9.999996347520184e-17,1.0034311582903524e-16,1.0028887204335955e-16,9.999999849951228e-17,9.965615205314173e-17,1.0034384793814224e-16
485.2815656520929,1.6451047721435865e-07,0.0005512798606888791,1.0000000000533785e-16,9999.999724360072,0.9999998354895503,1.6451045003859098e-07,2.7169764091823205e-14,1.9999999999999725,2.0534695134408407e-16,1.000000272201809e-16,9.99999625373478e-17,1.0036032768262586e-16,1.0029630566472944e-16,9.9999998461213e-17,9.96473383362522e-17,1.0035266165457849e-16
497.7425920864514,1.6873476549604066e-07,0.0005654355865723384,1.0000000000561517e-16,9999.99971728221,0.9999998312652627,1.6873473762245554e-07,2.7862095555728734e-14,1.9999999999999718,2.1080702707829962e-16,1.0000002791916019e-16,9.999996157541304e-17,1.0037864223875064e-16,1.0030393179279695e-16,9.999999842194222e-17,9.963829911112812e-17,1.0036170087922572e-16
510.52359189459685,1.7306752474112674e-07,0.0005799548021942633,1.0000000000590688e-16,9999.999710022601,0.9999998269325041,1.730674961518056e-07,2.857206127553259e-14,1.9999999999999711,2.1654997519643062e-16,1.0000002863608895e-16,9.999996058877927e-17,1.0039813984375718e-16,1.0031175552179954e-16,9.999999838167564e-17,9.962902862922819e-17,1.0037097136062401e-16
